Date,cases_age_group_0_to_9,female_0_to_9_cases_perc,male_0_to_9_cases_perc,cases_age_group_10_to_19,female_10_to_19_cases_perc,male_10_to_19_cases_perc,cases_age_group_20_to_29,female_20_to_29_cases_perc,male_20_to_29_cases_perc,cases_age_group_30_to_39,female_30_to_39_cases_perc,male_30_to_39_cases_perc,cases_age_group_40_to_49,female_40_to_49_cases_perc,male_40_to_49_cases_perc,cases_age_group_50_to_59,female_50_to_59_cases_perc,male_50_to_59_cases_perc,cases_age_group_60_to_69,female_60_to_69_cases_perc,male_60_to_69_cases_perc,cases_age_group_70_to_79,female_70_to_79_cases_perc,male_70_to_79_cases_perc,cases_age_group_80_to_89,female_80_to_89_cases_perc,male_80_to_89_cases_perc,cases_age_group_90_plus,female_90_plus_cases_perc,male_90_plus_cases_perc
2020-06-13,988,47%,53%,1812,48%,52%,8585,48%,52%,10356,34%,66%,10499,33%,67%,11244,34%,66%,7602,38%,62%,3477,41%,59%,1069,39%,61%,129,42%,58%
2020-06-14,1021,47%,53%,1874,48%,52%,8795,48%,52%,10716,34%,66%,10815,32%,68%,11618,34%,66%,7874,39%,61%,3602,40%,60%,1102,40%,60%,132,43%,57%
2020-06-15,1034,47%,53%,1889,48%,52%,8910,48%,52%,10865,34%,66%,10997,33%,67%,11813,34%,66%,8030,39%,61%,3690,41%,59%,1129,40%,60%,132,43%,57%
2020-06-16,1042,47%,53%,1922,48%,52%,9032,48%,52%,11017,34%,66%,11188,33%,67%,12006,34%,66%,8181,39%,61%,3764,41%,59%,1150,40%,60%,132,43%,57%
2020-06-17,1042,47%,53%,1922,48%,52%,9032,48%,52%,11017,34%,66%,11188,33%,67%,12006,34%,66%,8181,39%,61%,3764,41%,59%,1150,40%,60%,132,43%,57%
2020-06-18,1101,46%,54%,2046,46%,54%,9517,46%,54%,11563,33%,67%,11746,32%,68%,12574,34%,66%,8585,38%,62%,3964,40%,60%,1206,40%,60%,133,44%,56%
2020-06-19,1122,46%,54%,2076,46%,54%,9675,46%,54%,11811,33%,67%,11995,32%,68%,12801,34%,66%,8765,38%,62%,4056,40%,60%,1228,40%,60%,135,44%,56%
2020-06-20,1139,46%,54%,2112,46%,54%,9830,46%,54%,12011,34%,66%,12186,32%,68%,13052,34%,66%,8942,38%,62%,4148,40%,60%,1260,40%,60%,137,43%,57%
2020-06-21,1159,46%,54%,2150,46%,54%,9997,46%,54%,12225,34%,66%,12397,32%,68%,13307,34%,66%,9127,38%,62%,4226,40%,60%,1277,39%,61%,142,42%,58%
2020-06-22,1177,46%,54%,2185,46%,54%,10119,46%,54%,12417,34%,66%,12593,32%,68%,13538,34%,66%,9288,38%,62%,4315,40%,60%,1303,39%,61%,142,42%,58%
2020-06-23,1188,46%,54%,2199,46%,54%,10207,46%,54%,12551,34%,66%,12749,32%,68%,13706,34%,66%,9441,38%,62%,4388,40%,60%,1324,39%,61%,143,42%,58%
2020-06-24,1200,46%,54%,2228,46%,54%,10326,46%,54%,12758,34%,66%,12961,32%,68%,13912,34%,66%,9611,38%,62%,4491,40%,60%,1351,39%,61%,144,42%,58%
2020-06-25,1221,46%,54%,2250,46%,54%,10492,46%,54%,12984,34%,66%,13212,32%,68%,14207,34%,66%,9795,38%,62%,4591,40%,60%,1385,39%,61%,148,42%,58%
2020-06-26,1244,46%,54%,2281,46%,54%,10652,46%,54%,13197,34%,66%,13445,32%,68%,14460,34%,66%,9981,38%,62%,4693,40%,60%,1406,39%,61%,151,42%,58%
2020-06-27,1251,46%,54%,2317,46%,54%,10690,46%,54%,13263,34%,66%,13603,32%,68%,14597,34%,66%,10089,38%,62%,4759,40%,60%,1429,39%,61%,154,42%,58%
2020-06-28,1272,46%,54%,2355,46%,54%,10889,46%,54%,13466,34%,66%,13829,32%,68%,14857,34%,66%,10242,38%,62%,4877,40%,60%,1459,39%,61%,158,42%,58%
2020-06-29,1299,46%,54%,2393,46%,54%,11036,46%,54%,13673,34%,66%,14019,32%,68%,15092,34%,66%,10432,38%,62%,4976,40%,60%,1498,39%,61%,160,42%,58%
