Date,Stable_Asymptomatic,Stable_Symptomatic,Critical,Total_high_risk_contact_traced_Past_24_hrs,Total_low_risk_contact_traced_Past_24_hrs
2020-06-08,18440,6769,916,8494,17974
2020-06-09,18203,7007,968,4823,9614
2020-06-10,,,,,
2020-06-11,16681,10157,986,6706,12878
2020-06-12,,,,,
2020-06-13,16859,10845,978,8594,21324
2020-06-14,17771,10209,979,7569,17152
2020-06-15,16358,9349,1031,5399,11735
2020-06-16,14871,10057,1009,4993,10703
2020-06-17,15735,10185,1001,6225,11956
2020-06-18,16016,10657,961,7072,13098
2020-06-19,16408,11023,957,5989,9704
2020-06-20,16728,11133,978,5971,10919
2020-06-21,17043,11425,879,7172,13117
2020-06-22,17312,11504,965,5746,9325
2020-06-23,17459,11641,963,5055,9611
2020-06-24,16862,10822,969,6571,11897
2020-06-25,16098,10687,994,6107,10760
2020-06-26,17135,10226,1005,6846,11391
2020-06-27,15569,10550,1015,6302,10778
2020-06-28,15734,10803,987,8190,9242
2020-06-29,16222,11066,1000,7576,10788
2020-06-30,16727,10789,957,6245,8729
2020-07-01,17867,10470,951,9172,15629
2020-07-02,16143,7786,953,9800,13541
2020-07-03,14391,9070,1022,7670,9659
2020-07-04,14961,8546,1017,8228,11514
2020-07-05,13663,8736,947,7373,9606
2020-07-06,13898,8357,984,6559,8980
2020-07-07,14190,7757,1049,4466,6920
2020-07-08,14143,8013,1058,8138,11144
2020-07-09,14879,7892,1144,6797,9811
2020-07-10,13989,7620,1129,7058,10178
2020-07-11,14102,7520,1157,6713,9370
2020-07-12,14029,7401,1126,6355,8128
2020-07-13,14206,7575,1158,6133,11874
2020-07-14,14166,7625,1037,5569,7254
2020-07-15,14549,7257,1153,7485,10087
2020-07-16,14988,7355,1351,7519,10014
2020-07-17,15990,6731,1336,6432,8129
2020-07-18,16541,6128,1370,6362,7469
2020-07-19,16930,5610,1288,5876,6794
2020-07-20,17327,5252,1286,4683,6222
2020-07-21,15482,7137,1274,4593,8414
2020-07-22,15444,6913,1225,6809,7194
2020-07-23,15168,6380,1252,6667,9421
2020-07-24,15128,6322,1197,6213,7604
2020-07-25,15836,6056,1179,5092,7176
2020-07-26,15288,6341,1139,5913,6917
2020-07-27,14601,6072,1139,4725,6028
2020-07-28,13437,5667,1147,3597,5639
2020-07-29,13519,5426,1178,5609,8298
2020-07-30,13859,5194,1158,5716,8429
2020-07-31,14113,5362,1094,5234,7009
2020-08-01,14282,5362,1105,4786,6781
2020-08-02,14737,5610,1065,4670,6055
2020-08-03,13779,5710,1057,4726,6907
2020-08-04,13653,5633,1040,3518,4375
2020-08-05,14144,5530,1023,4592,6718
2020-08-06,13565,5941,1056,3684,4925
2020-08-07,13359,5661,1123,3939,4901
2020-08-08,13296,5518,1118,6213,8825
2020-08-09,13003,5633,1082,5258,6468
2020-08-10,12708,5382,1100,4208,5443
2020-08-11,12480,5392,1033,3746,5227
2020-08-12,12850,5101,1113,5674,6881
2020-08-13,13087,5170,1075,5451,6539
2020-08-14,13063,5199,1092,4789,5487
2020-08-15,11398,5075,1111,5492,6920
2020-08-16,11372,5388,1068,5396,6526
2020-08-17,,,,,
2020-08-18,11143,5493,1061,4759,7894
2020-08-19,11371,5479,1067,4537,5939
2020-08-20,11713,5415,1042,6594,9437
2020-08-21,12358,4813,1126,6009,10221
2020-08-22,11605,5621,1072,4752,6213
2020-08-23,11636,5935,994,4268,5685
2020-08-24,11287,5842,1134,3359,4749
2020-08-25,10998,5767,1166,2627,3554
2020-08-26,,,,,
2020-08-27,12419,5952,1089,5429,9152
2020-08-28,12248,6054,1099,4863,7515
2020-08-29,12643,6204,1127,5856,8864
2020-08-30,12894,6433,998,4357,7445
2020-08-31,,,,,
2020-09-01,12754,6183,1128,5106,7096
2020-09-02,13507,6167,1139,6008,7946
2020-09-03,14006,6274,1162,5463,7934
2020-09-04,14635,6485,1100,8584,12098
2020-09-05,15307,6558,1110,7311,10322
2020-09-06,16134,6734,1069,7222,11020
2020-09-07,16027,7008,1109,6796,9272
2020-09-08,16240,7071,1245,6316,8036
2020-09-09,17389,7030,1240,14889,14835
2020-09-10,18145,7225,1262,11117,11749
2020-09-11,18988,7317,1321,12142,12914
2020-09-12,20333,7477,1321,14449,13994
2020-09-13,21206,7803,1262,13953,12028
2020-09-14,21705,8086,1272,16304,13324
