Date ,Ward,Cumulative_cases,Num_of_sealed_buildings,Num_of_containment_zones_slums_and_chawls,Num_of_sealed_floors
2020-06-25,A,1724,69,15,
2020-06-25,B,740,61,9,
2020-06-25,C,989,46,14,
2020-06-25,D,2279,194,10,
2020-06-25,E,3030,39,15,
2020-06-25,FN,3275,532,22,
2020-06-25,FS,3732,159,27,
2020-06-25,GN,4617,250,14,
2020-06-25,GS,3499,184,9,
2020-06-25,HE,3398,146,18,
2020-06-25,HW,1743,200,27,
2020-06-25,KE,4864,570,41,
2020-06-25,KW,4226,232,54,
2020-06-25,L,3924,148,112,
2020-06-25,ME,2943,157,73,
2020-06-25,MW,2250,65,12,
2020-06-25,N,3707,256,15,
2020-06-25,PN,4083,502,30,
2020-06-25,PS,2214,302,34,
2020-06-25,RC,2312,646,11,
2020-06-25,RN,1489,306,40,
2020-06-25,RS,2501,339,43,
2020-06-25,S,3853,154,72,
2020-06-25,T,2151,453,42,
2020-06-26,A,1739,66,16,
2020-06-26,B,743,59,9,
2020-06-26,C,1003,46,10,
2020-06-26,D,2333,180,12,
2020-06-26,E,3065,39,15,
2020-06-26,FN,3304,532,22,
2020-06-26,FS,3796,165,34,
2020-06-26,GN,4665,253,14,
2020-06-26,GS,3541,193,8,
2020-06-26,HE,3412,149,18,
2020-06-26,HW,1789,186,27,
2020-06-26,KE,4972,569,41,
2020-06-26,KW,4304,219,55,
2020-06-26,L,3956,97,72,
2020-06-26,ME,2990,157,73,
2020-06-26,MW,2271,59,11,
2020-06-26,N,3757,264,15,
2020-06-26,PN,4161,508,31,
2020-06-26,PS,2251,223,34,
2020-06-26,RC,2408,599,11,
2020-06-26,RN,1527,241,43,
2020-06-26,RS,2565,362,43,
2020-06-26,S,3971,161,74,
2020-06-26,T,2244,282,42,
2020-06-27,A,1754,62,16,
2020-06-27,B,748,59,9,
2020-06-27,C,1017,51,10,
2020-06-27,D,2387,193,14,
2020-06-27,E,3108,39,15,
2020-06-27,FN,3323,532,22,
2020-06-27,FS,3861,170,34,
2020-06-27,GN,4739,262,13,
2020-06-27,GS,3593,197,8,
2020-06-27,HE,3441,146,18,
2020-06-27,HW,1835,194,30,
2020-06-27,KE,5082,569,41,
2020-06-27,KW,4370,219,55,
2020-06-27,L,4017,97,72,
2020-06-27,ME,3031,157,73,
2020-06-27,MW,2310,63,11,
2020-06-27,N,3821,256,15,
2020-06-27,PN,4281,494,31,
2020-06-27,PS,2289,223,30,
2020-06-27,RC,2482,612,11,
2020-06-27,RN,1572,241,39,
