Date,Private_hosp_total_beds_capacity,Private_hosp_ICU_beds_capacity,Private_hosp_normal_beds_capacity,Private_hosp_O2_beds_capacity,Private_hosp_ventilator_beds_capacity,Private_hosp_total_beds_occupancy,Private_hosp_ICU_beds_occupancy,Private_hosp_normal_beds_occupancy,Private_hosp_O2_beds_occupancy,Private_hosp_ventilator_beds_occupancy
2020-07-13,4889,942,3947,2885,449,3935,848,3087,2388,427
2020-07-14,4896,942,3954,2892,449,3886,863,3023,2366,429
2020-07-15,4896,942,3954,2892,449,3875,870,3005,2357,429
2020-07-16,4896,942,3954,2892,449,3875,854,3021,2361,425
2020-07-17,4896,942,3954,2892,449,3895,847,3048,2390,422
2020-07-18,4896,942,3954,2892,449,3889,858,3031,2378,425
2020-07-19,4896,942,3954,2892,449,3852,853,2999,2349,426
2020-07-20,4864,944,3920,2934,450,3839,847,2992,2354,425
2020-07-21,4864,944,3920,2934,450,3811,848,2963,2348,426
2020-07-22,4864,944,3920,2934,450,3834,852,2982,2378,427
2020-07-23,4864,944,3920,2934,450,3789,833,2956,2362,423
2020-07-24,4858,940,3918,2932,456,3804,836,2968,2365,426
2020-07-25,4858,940,3918,2932,456,3808,849,2959,2352,424
2020-07-26,4873,942,3931,2945,455,3786,831,2955,2367,423
2020-07-27,4873,942,3931,2945,455,3750,822,2928,2358,415
2020-07-28,4873,935,3938,2951,450,3670,830,2840,2273,419
2020-07-29,4873,935,3938,2951,450,3669,835,2834,2257,419
2020-07-30,4868,930,3938,2952,447,3668,846,2822,2235,420
2020-07-31,4874,937,3937,2951,453,3714,843,2871,2272,423
2020-08-01,4874,937,3937,2951,453,3715,827,2888,2277,421
2020-08-02,4508,877,3631,2762,400,3418,765,2653,2118,370
2020-08-03,4508,877,3631,2762,400,3376,753,2623,2084,361
2020-08-04,4492,863,3629,2758,397,3323,733,2590,2065,354
2020-08-05,4529,876,3653,2795,403,3319,742,2577,2065,360
2020-08-06,4616,904,3712,2851,428,3330,753,2577,2027,384
2020-08-08,4622,917,3705,2833,443,3332,759,2573,1994,395
2020-08-09,4751,944,3807,2928,455,3405,778,2627,2034,398
2020-08-10,4751,944,3807,2928,455,3393,768,2625,2053,397
2020-08-11,4785,954,3831,2952,458,3420,785,2635,2072,402
2020-08-12,4785,954,3831,2952,458,3413,787,2626,2075,402
2020-08-13,4841,948,3893,3011,463,3459,783,2676,2123,414
2020-08-14,4841,948,3893,3011,463,3487,791,2696,2139,420
